study_code,original_code,rad_assignment,caps_assignment,final_assignment
PSGRB_8228,DC8228,,BLU,BLU
PSCBD_8285,DC8285,,BLU,BLU
PSCBD_8291,DC8291,,BLU,BLU
PSCBD_8295,DC8295,,BLU,BLU
PSCBD_8296,DC8296,,BLU,BLU
PSCBD_8297,DC8297,,BLU,BLU
PSCBD_8313,DC8313,,BLU,BLU
PSCBX_8319,DC8319,,BLU,BLU
PSCBX_8324,DC8324,,BLU,BLU
PSCBX_8328,DC8328,,BLU,BLU
PSCBX_8340,DC8340,,BLU,BLU
PSCBX_8341,DC8341,,BLU,BLU
PSCBX_8342,DC8342,,BLU,BLU
PSCBX_8343,DC8343,,BLU,BLU
PSCBX_8344,DC8344,,BLU,BLU
PSCYS_8347,DC8347,,BLU,BLU
PSCYS_8371,DC8371,,BLU,BLU
PSCYS_8372,DC8372,,BLU,BLU
PSCYD_8377,DC8377,,BLU,BLU
PSCYD_8379,DC8379,,BLU,BLU
PSCYD_8380,DC8380,,BLU,BLU
PSCYD_8387,DC8387,,BLU,BLU
PSCYD_8399,DC8399,,BLU,BLU
PSCYD_8404,DC8404,,BLU,BLU
PSGID_8787,DC8787,,BLU,BLU
PSGID_8791,DC8791,,BLU,BLU
PSGIS_8800,DC8800,,BLU,BLU
PSGIS_8802,DC8802,,BLU,BLU
PSCZD_8910,DC8910,,BLU,BLU
PSCZD_8926,DC8926,,BLU,BLU
PSCZS_8937,DC8937,,BLU,BLU
PSCHD_9001,DC9001,,BLU,BLU
PSCHD_9002,DC9002,,BLU,BLU
PSCHD_9003,DC9003,,BLU,BLU
PSCHD_9004,DC9004,,BLU,BLU
PSCHD_9009,DC9009,,BLU,BLU
PSCHD_9010,DC9010,,BLU,BLU
PSCYD_9011,DC9011,,BLU,BLU
PSCYD_9012,DC9012,,BLU,BLU
PSCYD_9015,DC9015,,BLU,BLU
PSCYD_9016,DC9016,,BLU,BLU
PSCYD_9017,DC9017,,BLU,BLU
PSCYD_9018,DC9018,,BLU,BLU
PSCYD_9028,DC9028,,BLU,BLU
PSCYD_9032,DC9032,,BLU,BLU
PSCYD_9036,DC9036,,BLU,BLU
PSCYD_9038,DC9038,,BLU,BLU
PSCYD_9040,DC9040,,BLU,BLU
PSCYD_9042,DC9042,,BLU,BLU
PSCYD_9046,DC9046,,BLU,BLU
PSCYD_9048,DC9048,,BLU,BLU
PSCYD_9054,DC9054,,BLU,BLU
PSCYD_9060,DC9060,,BLU,BLU
PSCZD_9063,DC9063,,BLU,BLU
PSCZD_9064,DC9064,,BLU,BLU
PSCZD_9066,DC9066,,BLU,BLU
PSCZD_9073,DC9073,,BLU,BLU
PSCZD_9078,DC9078,,BLU,BLU
PSCZD_9081,DC9081,,BLU,BLU
PSCZD_9084,DC9084,,BLU,BLU
PSCVD_9087,DC9087,,BLU,BLU
PSCVD_9089,DC9089,,BLU,BLU
PSCVD_9091,DC9091,,BLU,BLU
PSGBS_9125,DC9125,,BLU,BLU
PSGBS_9126,DC9126,,BLU,BLU
PSGBS_9131,DC9131,,BLU,BLU
PSGBS_9137,DC9137,,BLU,BLU
PSGOB_9157,DC9157,,BLU,BLU
PSGOB_9187,DC9187,,BLU,BLU
PSGOB_9191,DC9191,,BLU,BLU
PSGOB_9192,DC9192,,BLU,BLU
PSGOB_9193,DC9193,,BLU,BLU
PSGOB_9194,DC9194,,BLU,BLU
PSGOS_9206,DC9206,,BLU,BLU
PSPGD_0953,PNG0953,,BLU,BLU
PSPGD_0955,PNG0955,,BLU,BLU
PSPGD_0972,PNG0972,,BLU,BLU
PSPGD_0974,PNG0974,,BLU,BLU
PSPGD_0977,PNG0977,,BLU,BLU
PSPGD_0987,PNG0987,,BLU,BLU
PSPGD_1003,PNG1003,,BLU,BLU
PSPGD_1010,PNG1010,,BLU,BLU
PSPGD_1037,PNG1037,,BLU,BLU
PSPGD_1039,PNG1039,,BLU,BLU
PSPGS_1057,PNG1057,,BLU,BLU
PSPGS_1101,PNG1101,,BLU,BLU
PSPGS_1103,PNG1103,,BLU,BLU
PSPGS_1111,PNG1111,,BLU,BLU
PSPVD_1225,PNG1225,,BLU,BLU
PSPVD_1243,PNG1243,,BLU,BLU
PSPVD_1264,PNG1264,,BLU,BLU
PSPVD_1270,PNG1270,,BLU,BLU
PSPVD_1274,PNG1274,,BLU,BLU
PSPVD_1284,PNG1284,,BLU,BLU
PSPVD_1293,PNG1293,,BLU,BLU
PSPVS_1303,PNG1303,,BLU,BLU
PSPVS_1309,PNG1309,,BLU,BLU
PSPVS_1321,PNG1321,,BLU,BLU
PSPVS_1343,PNG1343,,BLU,BLU
PSPVS_1349,PNG1349,,BLU,BLU
PSPVS_1359,PNG1359,,BLU,BLU
PSPVS_1365,PNG1365,,BLU,BLU
PSPVS_1367,PNG1367,,BLU,BLU
PSPVS_1371,PNG1371,,BLU,BLU
PSPVS_1379,PNG1379,,BLU,BLU
PSOKD_7049,not_available,GRN,,GRN
PSOKS_7084,not_available,GRN,,GRN
PSOSS_7161,not_available,GRN,,GRN
PSOSS_7168,not_available,GRN,,GRN
PSOSS_7171,not_available,GRN,,GRN
PSOSS_7173,not_available,GRN,,GRN
PSOSS_7177,not_available,GRN,,GRN
PSOSS_7178,not_available,GRN,,GRN
PSOSS_7185,not_available,GRN,,GRN
PSOSS_7186,not_available,GRN,,GRN
PSCHD_0062,DC0062,GRN,GRN,GRN
PSCHX_0313,DC0313,GRN,UGR,GRN
PSCFX_0508,DC0508,GRN,GRN,GRN
PSCFS_0583,DC0583,GRN,GRN,GRN
PSCFD_0637,DC0637,GRN,GRN,GRN
PSGAD_7607,DC7607,GRN,GRN,GRN
PSGAD_7633,DC7633,GRN,UGR,GRN
PSGUD_7712,DC7712,GRN,GRN,GRN
PSGUD_7713,DC7713,GRN,GRN,GRN
PSGUD_7714,DC7714,GRN,GRN,GRN
PSGUD_7715,DC7715,GRN,GRN,GRN
PSGUB_7773,DC7773,GRN,GRN,GRN
PSGYD_7841,DC7841,GRN,GRN,GRN
PSGYS_7863,DC7863,GRN,GRN,GRN
PSGTS_7918,DC7918,GRN,GRN,GRN
PSGTD_7949,DC7949,GRN,GRN,GRN
PSGSD_8017,DC8017,GRN,GRN,GRN
PSGDS_8072,DC8072,GRN,GRN,GRN
PSGDD_8080,DC8080,GRN,GRN,GRN
PSGDD_8089,DC8089,GRN,GRN,GRN
PSGDS_8102,DC8102,GRN,GRN,GRN
PSGDS_8104,DC8104,GRN,GRN,GRN
PSGDS_8116,DC8116,GRN,GRN,GRN
PSGDB_8132,DC8132,GRN,GRN,GRN
PSGRB_8224,DC8224,GRN,GRN,GRN
PSGRB_8225,DC8225,GRN,GRN,GRN
PSGRB_8233,DC8233,GRN,GRN,GRN
PSGRB_8237,DC8237,GRN,GRN,GRN
PSCBS_8277,DC8277,GRN,GRN,GRN
PSCBD_8304,DC8304,GRN,GRN,GRN
PSCBX_8317,DC8317,GRN,GRN,GRN
PSCBX_8329,DC8329,GRN,GRN,GRN
